GLDay;GLMonth;GLYear;ConfigSKU;SKU;ConfigName;Supplier;Designer;Category;Buyer;Date QCed;01_WHSamples_OUT;02_SampleRoom_IN;03_SampleRoom_TO_studio;04_SampleRoom_FROM_studio;05_SampleRoom_OUT;06_WHSamples_IN
15.0;4.0;2015.0;R5PXH8C;R5PXH8C0007;ANNABEL GRAPHITE LONG BOOT;Watson shoes;Franco Gemelli;Boots;Kristy;2015-04-08 14:42:00;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
15.0;4.0;2015.0;931N1K5;931N1K50034;Charcoal cowl neck jersey;Kate Jordan Designs Cc;edit;Jacket & Knitwear;Liezel;2015-04-08 11:58:00;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
22.0;4.0;2015.0;XJ6Z6D4;XJ6Z6D400NA;LARGE SOFT FLORAL HEART SQUARE GIFT BAG;SA Greetings;SA Greetings;;KellyLee;2015-04-08 10:53:00;2015-04-08 00:00:00;;;;;
22.0;4.0;2015.0;8FT8SLK;8FT8SLK0007;Red suede buster;Watson shoes;Grasshoppers;Casual Shoes;Bukiwe;2015-04-08 13:44:00;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
;;;S5T685H;S5T685H0007;;;;;;;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
15.0;4.0;2015.0;8Q2W66X;8Q2W66X023Y;Funky sun;New Pier Trading LTD;Roxy;Girls;Kate;2015-04-08 13:24:00;2015-04-08 00:00:00;;;2015-04-13 00:00:00;2015-04-13 00:00:00;
15.0;4.0;2015.0;SQ7MPRC;SQ7MPRC0007;ANNABEL BROWN LONG BOOT;Watson shoes;Franco Gemelli;Boots;Kristy;2015-04-08 16:11:00;2015-04-08 00:00:00;;;;;
;;;75L1FX5;75L1FX5OSFA;;;;;;;2015-04-08 00:00:00;;;2015-04-13 00:00:00;2015-04-13 00:00:00;
;;;2EY5X22;2EY5X22000M;;;;;;;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
22.0;4.0;2015.0;3BRK9E5;3BRK9E500NA;PEARLISED TISSUE PAPER PINK;SA Greetings;SA Greetings;;KellyLee;2015-04-08 10:53:00;2015-04-08 00:00:00;;;;;
15.0;4.0;2015.0;O9K73Y6;O9K73Y6000M;Drew polo dress;Leigh Schubert;Leigh Schubert;Dresses;Carrington;2015-04-08 09:24:00;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
20.0;5.0;2015.0;99H7N1B;99H7N1BOSFA;Zed beanie.;Chapatti ;STYLE REPUBLIC;Headwear And Neckwear;Bukiwe;2015-04-08 11:58:00;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
22.0;4.0;2015.0;5Y7QC7M;5Y7QC7M00NA;MEDIUM SOFT FLORAL BADGE SPECIAL FINISH GIFT BAG;SA Greetings;SA Greetings;;KellyLee;2015-04-08 10:53:00;2015-04-08 00:00:00;;;;;
15.0;4.0;2015.0;7EXDJ81;7EXDJ810034;Black lace top;Kate Jordan Designs Cc;edit;Tops;Liezel;2015-04-08 13:24:00;2015-04-08 00:00:00;;;2015-04-14 00:00:00;2015-04-14 00:00:00;
;;;36IV14O;36IV14O3232;;;;;;;2015-04-13 00:00:00;;;2015-05-06 00:00:00;2015-05-06 00:00:00;2015-06-01 00:00:00
;;;UO2T5V6;UO2T5V6000M;;;;;;;2015-04-13 00:00:00;;;2015-05-04 00:00:00;2015-05-04 00:00:00;2015-05-13 00:00:00
;;;ESUEZR6;ESUEZR60034;;;;;;;2015-04-13 00:00:00;2015-05-04 00:00:00;2015-05-04 00:00:00;2015-05-11 00:00:00;2015-05-11 00:00:00;2015-06-01 00:00:00
;;;M5D24TU;M5D24TU000M;;;;;;;2015-04-13 00:00:00;;;;;2015-05-14 00:00:00
;;;BQ8HJ99;BQ8HJ99000S;;;;;;;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
;;;551Q6PD;551Q6PD000M;;;;;;;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
6.0;5.0;2015.0;1FZ1R84;1FZ1R840007;Navy vulcanized Hi Cut;Soviet Apparel Pty Ltd;SOVIET;Boys;Kate;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;
;;;N1MDHFT;N1MDHFT000M;;;;;;;2015-04-13 00:00:00;;;;;2015-05-14 00:00:00
;;;AD591YH;AD591YH000M;;;;;;;2015-04-13 00:00:00;;;;;2015-05-14 00:00:00
;;;C792FK4;C792FK40034;;;;;;;2015-04-13 00:00:00;2015-05-04 00:00:00;2015-05-04 00:00:00;2015-03-03 00:00:00;2015-03-03 00:00:00;2015-05-29 00:00:00
27.0;5.0;2015.0;1N1FM2W;1N1FM2WOSFA;Sutton mid-volume;ICC distribution;HERSCHEL;Bags And Wallets;Bukiwe;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-13 00:00:00
27.0;5.0;2015.0;HZ823LX;HZ823LXOSFA;Sutton mid-volume.;ICC distribution;HERSCHEL;Bags And Wallets;Bukiwe;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-13 00:00:00
27.0;5.0;2015.0;X1SL5L3;X1SL5L3OSFA;Little America.;ICC distribution;HERSCHEL;Bags And Wallets;Bukiwe;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-13 00:00:00
22.0;4.0;2015.0;885Y79E;885Y79E001Y;Ellie jeep top;Hooligan Kids Clothing;HOOLIGANS;Boys;Kate;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;
15.0;4.0;2015.0;YTBITY2;YTBITY2000M;Joe Moer;New Pier Trading LTD;Quiksilver;Casual Wear;Craig;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;2015-05-14 00:00:00
15.0;4.0;2015.0;CJB8458;CJB84580034;Columia Jeans;Sector Group;555 Soul;Men\'S Casual Bottoms;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;2015-05-04 00:00:00;2015-05-04 00:00:00;2015-05-12 00:00:00
27.0;5.0;2015.0;O9D8SS6;O9D8SS6OSFA;Little America.;ICC distribution;HERSCHEL;Bags And Wallets;Bukiwe;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-13 00:00:00
27.0;5.0;2015.0;2622O23;2622O23OSFA;Little America.;ICC distribution;HERSCHEL;Bags And Wallets;Bukiwe;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-13 00:00:00
15.0;4.0;2015.0;K33IB7E;K33IB7E000M;In Town Jacket;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
22.0;4.0;2015.0;QIR89L4;QIR89L4036M;Giraffe top;Hooligan Kids Clothing;HOOLIGANS;Girls;Kate;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;
6.0;5.0;2015.0;P5LHA17;P5LHA170001;Black vulcanized Hi Cut;Soviet Apparel Pty Ltd;SOVIET;Boys;Kate;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;
15.0;4.0;2015.0;LMCQJ49;LMCQJ49000M;Savannah Sweater;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;2T7RB32;2T7RB32000M;Parka with fleece lining;Banggood;c(inch);;Megan;2015-04-14 10:53:00;2015-04-13 00:00:00;;;;;
22.0;4.0;2015.0;FGF21E6;FGF21E6001Y;Polka dot lion dress;Hooligan Kids Clothing;HOOLIGANS;Girls;Kate;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;
22.0;4.0;2015.0;O5J274O;O5J274O036M;Babygrow;Hooligan Kids Clothing;HOOLIGANS;Boys;Kate;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;
22.0;4.0;2015.0;2VY17I8;2VY17I8012Y;Grey Leggings;Hooligan Kids Clothing;HOOLIGANS;Girls;Kate;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;
22.0;4.0;2015.0;ENA59S7;ENA59S7023Y;Colour block track pants;Hooligan Kids Clothing;HOOLIGANS;Boys;Kate;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;
22.0;4.0;2015.0;B6PPL73;B6PPL731218;Babygrow;Hooligan Kids Clothing;HOOLIGANS;Girls;Kate;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;
15.0;4.0;2015.0;9IAMISU;9IAMISU000M;New York T-shirt;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-12 00:00:00
13.0;5.0;2015.0;31666N2;31666N20007;Floral Hi - tops;Soviet Apparel Pty Ltd;SOVIET;Flats;Kristy;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;
13.0;5.0;2015.0;ZC7XY12;ZC7XY120007;Snake slip ons;Soviet Apparel Pty Ltd;SOVIET;Flats;Kristy;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;2015-05-12 00:00:00
15.0;4.0;2015.0;252M97J;252M97J000M;Schooner;New Pier Trading LTD;Quiksilver;Casual Wear;Craig;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;ZNFU117;ZNFU117000M;Parka with fleece lining;Banggood;c(inch);;Megan;2015-04-14 10:53:00;2015-04-13 00:00:00;;;;;
8.0;7.0;2015.0;5TI3RWV;5TI3RWV000M;Minnesota T-shirt;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
6.0;5.0;2015.0;7332W5V;7332W5V0005;Hi Cut sneaker;Soviet Apparel Pty Ltd;SOVIET;Boys;Kate;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;
15.0;4.0;2015.0;DI69DB9;DI69DB9000M;Wisconsin T-shirt;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
8.0;4.0;2015.0;9IF8A79;9IF8A790034;Miracle dress;Posse Clothing;edit;Dresses;Liezel;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-13 00:00:00
15.0;4.0;2015.0;EE7HA78;EE7HA78000M;Bird Sweater;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;T6T2K2U;T6T2K2U0007;Caleb 2;Jordan Shoes;Bronx;Casual Shoes;Bukiwe;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;7GFY98J;7GFY98J000M;Everyday Tee;New Pier Trading LTD;Quiksilver;Casual Wear;Craig;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;2015-05-12 00:00:00
15.0;4.0;2015.0;KXCVP1R;KXCVP1R000M;Mountain WaveTee;New Pier Trading LTD;Quiksilver;Casual Wear;Craig;2015-04-13 14:41:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;FXABK57;FXABK57000M;Strike twice;New Pier Trading LTD;Quiksilver;Casual Wear;Craig;2015-05-12 11:49:00;2015-04-13 00:00:00;;;;;2015-05-12 00:00:00
15.0;4.0;2015.0;BAVP2E7;BAVP2E7000M;Vegas T-Shirt;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-12 00:00:00
15.0;4.0;2015.0;3RMI384;3RMI384000M;Houma T-shirt;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;CBIF11R;CBIF11R000M;Kansas sweats;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;882SYH6;882SYH60007;Caleb 2;Jordan Shoes;Bronx;Casual Shoes;Bukiwe;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
8.0;4.0;2015.0;P222QU1;P222QU10034;Printed miracle dress;Posse Clothing;edit;Dresses;Liezel;2015-04-13 15:16:00;2015-04-13 00:00:00;;;;;2015-05-14 00:00:00
15.0;4.0;2015.0;8HL3GV4;8HL3GV4000M;Washington T-shirt;Sector Group;555 Soul;Casual Wear;Craig;2015-04-14 09:14:00;2015-04-13 00:00:00;;;;;2015-05-11 00:00:00
22.0;4.0;2015.0;HQJ83D1;HQJ83D10034;Ophelia dress;Jacoba Clothing Cc;Jacoba;Wedding;Khanitah;2015-04-15 08:22:00;2015-04-14 00:00:00;;;;;2015-05-13 00:00:00
8.0;4.0;2015.0;9R1239A;9R1239A0042;Skater dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;2015-05-22 00:00:00;2015-05-22 00:00:00;2015-06-02 00:00:00
1.0;4.0;2015.0;Z88O8LM;Z88O8LM0042;Colour block dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;2015-06-01 00:00:00
29.0;4.0;2015.0;C3M8MZX;C3M8MZX000M;Laelia long sleeve dress;Lizzy and Co;Lizzy;Dresses;JeanneMarie;2015-05-11 16:22:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;C9Q21E4;C9Q21E4000M;Barbara floral dress;Lizzy and Co;Lizzy;Dresses;JeanneMarie;2015-05-11 16:22:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;8KC3GIF;8KC3GIF000M;Blue polar fleece jacket;Lizzy and Co;Lizzy;Jacket & Knitwear;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
22.0;4.0;2015.0;RB9713D;RB9713D0034;Ophelia dress;Jacoba Clothing Cc;Jacoba;Wedding;Khanitah;2015-04-15 08:22:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;3835Z53;3835Z530034;Turtle neck bodycon;Kate Jordan Designs Cc;c(inch);Dresses;Clarissa;2015-04-14 09:14:00;2015-04-14 00:00:00;;;;;
8.0;4.0;2015.0;LMH1H3G;LMH1H3G0042;Waterfall Jacket short;Shanny Clothing ;;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;
29.0;4.0;2015.0;P11F776;P11F776000M;Mirissa Lizzy pullover hoodie;Lizzy and Co;Lizzy;Tops;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
22.0;4.0;2015.0;991JQ5B;991JQ5B0034;Bridgette dress;Jacoba Clothing Cc;Jacoba;Wedding;Khanitah;2015-04-15 08:22:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-13 00:00:00
29.0;4.0;2015.0;LE21RRP;LE21RRP000M;Black polar fleece jacket;Lizzy and Co;Lizzy;Jacket & Knitwear;JeanneMarie;2015-05-11 16:22:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
1.0;4.0;2015.0;JW13FYA;JW13FYA0042;Wrapp dress with 3/4 sleeve;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;2015-05-06 00:00:00;2015-05-06 00:00:00;2015-05-29 00:00:00
29.0;4.0;2015.0;MRLA3BZ;MRLA3BZ000M;Marbella floral legging;Lizzy and Co;Lizzy;Bottoms;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;XABF1QD;XABF1QD0034;Charcoal soft pants;Afrodizzy;edit;Bottoms;Liezel;2015-04-14 10:53:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-11 00:00:00
29.0;4.0;2015.0;G17K6Q6;G17K6Q60034;Black soft pants;Afrodizzy;edit;Bottoms;Liezel;2015-04-14 10:53:00;2015-04-14 00:00:00;;;;;2015-05-13 00:00:00
29.0;4.0;2015.0;E6W4E66;E6W4E660034;Beige soft pants;Afrodizzy;edit;Bottoms;Liezel;2015-04-14 10:53:00;2015-04-14 00:00:00;;;;;2015-05-13 00:00:00
1.0;4.0;2015.0;8ZI9VE3;8ZI9VE30042;Layered Maxi Dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;
;;;O8PV218;O8PV2180034;;;;;;;2015-04-14 00:00:00;;;;;2015-05-14 00:00:00
1.0;4.0;2015.0;1Y9W532;1Y9W5320042;Layered Maxi Dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-15 08:22:00;2015-04-14 00:00:00;;;;;2015-06-01 00:00:00
29.0;4.0;2015.0;63P495K;63P495K000M;Mirissa Lizzy pullover hoodie;Lizzy and Co;Lizzy;Tops;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-14 00:00:00
6.0;5.0;2015.0;52GD34G;52GD34G00NA;LIGHT GREY GREEN JAR;Wechsler;Treasury;Decor & Storage;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
29.0;4.0;2015.0;I89UC3P;I89UC3P000M;Beige fur hooded jacket;Lizzy and Co;Lizzy;Jacket & Knitwear;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
;;;798J792;798J7920034;;;;;;;2015-04-14 00:00:00;;;;;2015-05-14 00:00:00
;;;7C124TX;7C124TX0034;;;;;;;2015-04-14 00:00:00;;;;;2015-05-13 00:00:00
6.0;5.0;2015.0;1WTY568;1WTY56800NA;PLANTER W/OWL;Wechsler;Treasury;Pots & Planters;Kerry;2015-04-15 00:00:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-11 00:00:00
15.0;4.0;2015.0;F9P5963;F9P59630034;Lace bomber jacket;Kate Jordan Designs Cc;c(inch);Jacket & Knitwear;Clarissa;2015-04-15 00:00:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-13 00:00:00
;;;9X4Y92S;9X4Y92S0034;;;;;;;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-13 00:00:00
8.0;4.0;2015.0;A2433D9;A2433D90042;Longer length Tank;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;8B3MA5G;8B3MA5G0034;Turtle neck bodycon;Kate Jordan Designs Cc;c(inch);Dresses;Clarissa;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
15.0;4.0;2015.0;E64816Y;E64816Y0032;Turtle neck bodycon;Kate Jordan Designs Cc;c(inch);Dresses;Clarissa;2015-04-14 09:14:00;2015-04-14 00:00:00;;;;;
29.0;4.0;2015.0;C7B6DY4;C7B6DY4000M;Batwing cape;Banggood;c(inch);;Megan;2015-04-14 10:53:00;2015-04-14 00:00:00;;;;;2015-05-14 00:00:00
1.0;4.0;2015.0;95RTK2C;95RTK2C0042;Layered Maxi Dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-15 08:22:00;2015-04-14 00:00:00;;;;;
6.0;5.0;2015.0;B29BF4R;B29BF4R00NA;CHEERS OPENER GIFTSET;Wechsler;Nest;Bar & Wine;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
6.0;5.0;2015.0;AXP93UD;AXP93UD00NA;LILY CANVAS PRINT W/FRAME;Wechsler;Treasury;Wall Art;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
6.0;5.0;2015.0;VWH72JX;VWH72JX00NA;LILY CANVAS PRINT W/FRAME;Wechsler;Treasury;Wall Art;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
;;;52364N2;52364N20034;;;;;;;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-13 00:00:00
6.0;5.0;2015.0;ZTZRF5L;ZTZRF5L00NA;CREAM JAR;Wechsler;Treasury;Decor & Storage;Kerry;2015-04-14 15:53:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-11 00:00:00
6.0;5.0;2015.0;36S7X8C;36S7X8C00NA;SET 2 SMALL FLOWER TINS;Wechsler;Treasury;Decor & Storage;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;;;2015-05-14 00:00:00
6.0;5.0;2015.0;517S7J4;517S7J400NA;Pug Dog Bookend;Wechsler;Nest;Decor & Storage;Kerry;2015-04-14 15:53:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-11 00:00:00
29.0;4.0;2015.0;C43535Z;C43535Z000M;Curren jersey;Lizzy and Co;Lizzy;Jacket & Knitwear;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;W3JMGW4;W3JMGW4000M;Parka with faux fur trim;Banggood;edit;;Megan;2015-05-11 16:22:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;C818UWO;C818UWO000M;Parka with faux fur trim;Banggood;edit;;Megan;2015-04-14 11:05:00;2015-04-14 00:00:00;;;;;2015-05-14 00:00:00
29.0;4.0;2015.0;U968P5V;U968P5V000M;Parka with faux fur trim;Banggood;edit;;Megan;2015-05-11 16:22:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
29.0;4.0;2015.0;43469Y3;43469Y3000M;Black fur hooded jacket;Lizzy and Co;Lizzy;Jacket & Knitwear;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
6.0;5.0;2015.0;8AKU839;8AKU83900NA;METAL WALL CLOCK;Wechsler;Treasury;Clocks;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
6.0;5.0;2015.0;3G61EXD;3G61EXD00NA;Big Numners glass wall clock 30cm;Wechsler;Treasury;Clocks;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;;;2015-05-14 00:00:00
15.0;4.0;2015.0;CV6L5UW;CV6L5UW0034;Lace bomber jacket;Kate Jordan Designs Cc;c(inch);Jacket & Knitwear;Clarissa;2015-04-15 00:00:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-13 00:00:00
29.0;4.0;2015.0;43SP1D2;43SP1D2000M;Floral windbreaker;Lizzy and Co;Lizzy;Jacket & Knitwear;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
;;;P8B1546;P8B15460034;;;;;;;2015-04-14 00:00:00;;;;;2015-05-13 00:00:00
22.0;4.0;2015.0;KC6VL3H;KC6VL3H0034;Lace bolero;Jacoba Clothing Cc;Jacoba;Wedding;Khanitah;2015-04-15 08:22:00;2015-04-14 00:00:00;;;;2015-04-21 00:00:00;2015-05-13 00:00:00
1.0;4.0;2015.0;T86UOCH;T86UOCH0042;Colour block dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;2015-05-22 00:00:00;2015-05-22 00:00:00;2015-06-02 00:00:00
6.0;5.0;2015.0;O673AN1;O673AN100NA;SET/2 ECO STORAGE BAG BASKET;Wechsler;Treasury;Bedroom Accessories;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
8.0;4.0;2015.0;1XJ5I7X;1XJ5I7X0042;Skater dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-15 08:22:00;2015-04-14 00:00:00;;;;;
1.0;4.0;2015.0;7827KYX;7827KYX0042;Layered Maxi Dress;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;2015-05-11 00:00:00;2015-05-11 00:00:00;2015-06-01 00:00:00
29.0;4.0;2015.0;1ZNGDJ1;1ZNGDJ1000M;Retron legging;Lizzy and Co;Lizzy;Bottoms;JeanneMarie;2015-04-14 15:35:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
8.0;4.0;2015.0;U8G4W6D;U8G4W6D0042;Peplum Tank;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;
29.0;4.0;2015.0;7APJ357;7APJ357000M;Parka with faux fur trim;Banggood;edit;;Megan;2015-05-11 16:22:00;2015-04-14 00:00:00;;;;;2015-05-11 00:00:00
6.0;5.0;2015.0;T72MFVH;T72MFVH00NA;4PC DAISY BATHROOM SET;Wechsler;Treasury;Bathroom Accessories;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
6.0;5.0;2015.0;19B3C9N;19B3C9N00NA;PENGUIN COCKTAIL SHAKER;Wechsler;Nest;Bar & Wine;Kerry;2015-05-15 08:49:00;2015-04-14 00:00:00;;;2015-04-21 00:00:00;2015-04-21 00:00:00;2015-05-14 00:00:00
8.0;4.0;2015.0;8O759B5;8O759B50042;Waterfall Jacket short;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;
8.0;4.0;2015.0;33WPX2Z;33WPX2Z0042;Waterfall Jacket short;Shanny Clothing ;;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;;;
8.0;4.0;2015.0;UUY8758;UUY87580042;Peplum Tank;Shanny Clothing ;edit;Plus Size;Catherine;2015-04-14 13:30:00;2015-04-14 00:00:00;;;2015-05-22 00:00:00;2015-05-22 00:00:00;2015-06-02 00:00:00
;;;573AOEK;573AOEK0028;;;;;;;2015-04-21 00:00:00;2015-04-22 00:00:00;2015-04-22 00:00:00;2015-04-23 00:00:00;2015-04-23 00:00:00;2015-05-14 00:00:00
6.0;5.0;2015.0;ZRXBBO3;ZRXBBO3OSFA;Black Drynamix anklet;Proline;FALKE;Underwear And Socks;Bukiwe;2015-05-15 08:49:00;2015-04-21 00:00:00;2015-04-22 00:00:00;2015-04-22 00:00:00;2015-04-24 00:00:00;2015-04-24 00:00:00;2015-05-14 00:00:00
6.0;5.0;2015.0;33A816K;33A816KOSFA;Falke charcoal drynamix socks;Proline;FALKE;Underwear And Socks;Bukiwe;2015-05-15 08:49:00;2015-04-21 00:00:00;2015-04-22 00:00:00;2015-04-22 00:00:00;2015-04-24 00:00:00;2015-04-24 00:00:00;2015-05-14 00:00:00
15.0;4.0;2015.0;SX367QB;SX367QB0034;Shirt with contrast collar;Pink Velvet;c(inch);Tops;Clarissa;2015-04-20 10:53:00;2015-04-21 00:00:00;2015-04-22 00:00:00;2015-04-22 00:00:00;;;2015-05-14 00:00:00
;;;RAO2425;RAO2425000M;;;;;;;2015-04-21 00:00:00;2015-04-22 00:00:00;2015-04-22 00:00:00;2015-04-23 00:00:00;2015-04-23 00:00:00;2015-05-14 00:00:00
