Order ID,Invoice,Ref,,Status,Tax date,Delivery due,Drop-ship,Contact,Amount,Paid,Actions
PO#366947,,Diane September2015/3,No stock items received,Draft PO,17 Jun 2015,20 Jun 2015,No,Lizzy ,"R1,966.30",R0.00,
,,,,,,,,,,,
PO#366823,,100101337(Samples),No stock items received,Dynaman - PO Created,17 Jun 2015,20 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#366822,,100170123(Samples),No stock items received,Dynaman - PO Created,17 Jun 2015,20 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#366821,,100137340(Samples),No stock items received,Dynaman - PO Created,17 Jun 2015,20 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#366820,,100208319(Samples),No stock items received,Dynaman - PO Created,17 Jun 2015,20 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#366819,,100253594(Samples),No stock items received,Dynaman - PO Created,17 Jun 2015,23 Jun 2015,No,Spree QC QC Team,"R6,402.98",R0.00,
,,,,,,,,,,,
PO#366818,,100253871(Samples),No stock items received,Dynaman - PO Created,17 Jun 2015,20 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#366817,,100241443(Spree Samples),No stock items received,Dynaman - PO Created,17 Jun 2015,20 Jun 2015,No,Spree ,R0.00,R0.00,
,,,,,,,,,,,
PO#366774,,drop waist grid dress,No stock items received,Dynaman - PO Created,17 Jun 2015,19 Jun 2015,No,edit-Pink Velvet ,"R11,238.56",R0.00,
,,,,,,,,,,,
PO#365498,,Diane August2015/4,No stock items received,Draft PO,15 Jun 2015,19 Jun 2015,No,Lizzard ,"R1,025.90",R0.00,
,,,,,,,,,,,
PO#365497,,Diane August2015/3,No stock items received,Draft PO,15 Jun 2015,18 Jun 2015,No,POLO ,"R7,802.73",R0.00,
,,,,,,,,,,,
PO#365495,,Diane August2015/1,No stock items received,PO Emailed To Supplier,29 Jul 2015,29 Jul 2015,No,Converse Skye Distribution,"R9,503.37",R0.00,
,,,,,,,,,,,
PO#364371,,100244078(SAMPLES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,R474.24,R0.00,
,,,,,,,,,,,
PO#364370,,100259480(SAMPLES),Stock items partially received,Dynaman - Goods received,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R7,773.63",R0.00,
,,,,,,,,,,,
PO#364369,,100248168(SAMPLES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R2,933.88",R0.00,
,,,,,,,,,,,
PO#364368,,100234343(SAMPLES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,R843.60,R0.00,
,,,,,,,,,,,
PO#364367,,100230672(SAMPLES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,R148.20,R0.00,
,,,,,,,,,,,
PO#364366,,long sleeve maxi dress,No stock items received,Sent to Dynaman,12 Jun 2015,23 Jun 2015,No,C INCH-Pink Velvet ,"R8,960.40",R0.00,
,,,,,,,,,,,
PO#364365,,Tasha - Geo Graphic jersey,No stock items received,PO Emailed To Supplier,12 Jun 2015,24 Jun 2015,No,C INCH-Chapatti ,"R11,970.00",R0.00,
,,,,,,,,,,,
PO#364364,,parka jakets,No stock items received,Sent to Dynaman,12 Jun 2015,23 Jun 2015,No,C INCH-Pink Velvet ,"R22,503.60",R0.00,
,,,,,,,,,,,
PO#364363,,100227517(SAMPLES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,R336.30,R0.00,
,,,,,,,,,,,
PO#364362,,100260326(SAMPLES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R2,599.03",R0.00,
,,,,,,,,,,,
PO#364361,,100260626 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R3,176.95",R0.00,
,,,,,,,,,,,
PO#364352,,100260691 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R1,878.88",R0.00,
,,,,,,,,,,,
PO#364344,,100241300(SAMLPES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R1,456.64",R0.00,
,,,,,,,,,,,
PO#364327,,100245588 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R6,227.38",R0.00,
,,,,,,,,,,,
PO#364297,,100244488(SAMPLES),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R1,793.79",R0.00,
,,,,,,,,,,,
PO#364295,,,No stock items received,Draft PO,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R1,793.79",R0.00,
,,,,,,,,,,,
PO#364267,,100245876 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R5,698.19",R0.00,
,,,,,,,,,,,
PO#364133,,Bukiwe1 July2015/11,No stock items received,PO Emailed To Supplier,12 Jun 2015,22 Jun 2015,No,BOSSI ,"R1,607.40",R0.00,
,,,,,,,,,,,
PO#364132,,Bukiwe1 July2015/10,No stock items received,Dynaman - PO Created,12 Jun 2015,22 Jun 2015,No,AVANTGARDE Meltrade 33 Cc / Avanglion,"R8,310.60",R0.00,
,,,,,,,,,,,
PO#364131,,Bukiwe1 July2015/9,No stock items received,Dynaman - PO Created,12 Jun 2015,22 Jun 2015,No,Hush Puppies ,"R14,364.00",R0.00,
,,,,,,,,,,,
PO#364130,,Bukiwe1 July2015/8,No stock items received,PO Emailed To Supplier,12 Jun 2015,22 Jun 2015,No,Kingston ,"R8,755.20",R0.00,
,,,,,,,,,,,
PO#364129,,Bukiwe1 July2015/7,No stock items received,PO Emailed To Supplier,12 Jun 2015,22 Jun 2015,No,Mazerata ,"R10,670.40",R0.00,
,,,,,,,,,,,
